,host_response_time,host_response_rate,host_is_superhost,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,availability_30,number_of_reviews,instant_bookable,cancellation_policy,wifi,tv,ac,kitchen,hair_dryer,free_park
1,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,50,1,19,2,0,1,1,0,1,1,1,0
2,1,1.0,0,1,1,1,3,1.0,1.0,1.0,1,125,3,28,21,0,2,1,1,1,1,1,1
3,2,1.0,0,0,3,1,4,1.0,1.0,3.0,1,100,3,30,0,1,2,0,0,0,0,0,0
5,1,1.0,1,1,1,2,4,1.0,1.0,1.0,1,69,3,0,94,1,1,1,0,1,1,0,1
6,1,1.0,0,1,1,1,7,1.0,2.0,5.0,1,150,2,24,3,0,3,0,1,1,1,1,1
7,1,1.0,1,1,1,2,2,1.0,1.0,1.0,1,101,1,29,31,0,1,1,1,1,0,1,1
8,2,1.0,0,0,3,1,4,1.5,2.0,2.0,1,100,1,29,0,1,2,1,1,1,1,0,1
10,1,1.0,1,0,1,1,2,1.0,0.0,1.0,1,125,2,18,60,0,1,1,1,1,1,1,1
11,4,0.33,0,1,1,1,2,1.0,1.0,2.0,1,115,3,0,49,1,2,1,1,1,1,1,0
12,1,1.0,0,1,1,1,4,2.0,3.0,3.0,1,62,2,19,9,0,1,1,0,1,1,1,0
13,1,1.0,1,1,1,1,4,1.0,1.0,2.0,1,85,1,12,110,1,3,1,1,1,1,1,1
14,1,1.0,0,1,1,2,2,1.5,1.0,1.0,1,44,2,14,72,1,2,1,0,1,1,1,1
15,1,1.0,0,1,1,2,2,1.5,1.0,1.0,1,47,2,17,35,1,1,1,1,1,1,1,1
16,1,1.0,0,1,1,2,3,1.0,1.0,2.0,1,39,2,19,131,0,2,1,1,1,1,0,0
18,1,1.0,0,1,1,2,2,1.5,1.0,1.0,1,85,5,6,33,0,2,1,1,1,1,0,1
20,1,1.0,0,1,1,1,4,1.0,1.0,1.0,1,105,3,16,27,0,2,1,1,1,1,1,1
21,2,1.0,0,0,1,2,2,1.0,1.0,2.0,1,45,2,25,9,0,2,1,0,0,1,0,0
22,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,70,7,29,5,0,2,1,1,1,1,1,0
23,3,1.0,0,1,1,3,1,1.0,1.0,1.0,1,65,3,30,0,0,3,1,1,1,1,0,0
24,3,0.75,0,0,1,1,2,1.0,1.0,1.0,1,90,3,30,1,0,3,1,1,0,1,0,0
25,1,1.0,0,0,1,2,4,1.0,1.0,1.0,1,63,2,20,23,0,1,1,1,1,1,1,1
26,1,1.0,0,1,1,1,8,1.0,1.0,3.0,1,125,2,10,224,1,2,1,1,1,1,1,0
27,1,1.0,0,1,1,1,7,1.0,1.0,2.0,1,110,3,20,22,0,2,1,1,1,1,0,1
28,1,1.0,0,1,1,1,6,1.0,1.0,4.0,1,200,1,16,38,0,2,0,1,1,1,1,0
29,1,1.0,0,0,1,2,3,1.0,1.0,2.0,1,38,2,8,93,1,2,1,1,1,1,1,0
30,1,1.0,0,1,1,1,3,1.0,1.0,2.0,1,49,2,4,108,0,2,1,1,1,1,1,0
31,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,43,2,0,66,1,2,1,1,0,1,1,1
32,3,0.75,0,0,1,3,1,1.0,1.0,1.0,1,35,2,30,8,0,1,1,1,0,1,0,1
33,1,1.0,0,0,1,2,1,1.5,1.0,1.0,1,85,2,12,4,0,2,1,1,1,0,0,1
34,1,1.0,0,1,1,2,2,1.5,1.0,2.0,1,44,2,26,75,1,1,1,1,0,1,1,1
35,1,0.84,0,1,1,1,4,1.0,1.0,2.0,1,109,2,10,5,0,1,1,1,1,1,1,1
37,2,0.9,0,1,1,1,3,1.0,1.0,2.0,1,120,1,25,5,0,3,1,0,1,1,0,0
38,1,1.0,1,1,1,1,3,1.0,2.0,2.0,1,52,1,0,17,0,2,1,1,0,1,0,0
39,1,1.0,0,0,1,1,5,1.0,2.0,2.0,1,200,3,25,0,0,2,1,1,1,1,0,0
40,3,0.8,0,1,1,1,2,1.0,0.0,1.0,1,130,1,2,39,0,1,1,1,1,1,0,0
41,4,0.0,0,0,1,1,4,1.0,1.0,2.0,1,100,3,0,9,0,2,1,0,1,1,0,0
43,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,55,1,7,61,1,2,1,0,0,1,1,0
45,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,35,1,0,3,1,3,1,0,0,1,0,0
47,1,1.0,1,0,1,2,2,1.0,1.0,1.0,1,50,1,0,77,0,2,1,1,1,1,1,0
48,1,1.0,0,1,1,2,1,1.0,1.0,2.0,1,40,2,0,0,1,3,1,1,0,1,0,0
49,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,100,1,18,18,0,2,1,0,1,1,1,0
51,1,1.0,1,1,1,1,3,1.0,1.0,2.0,1,115,3,10,17,1,2,1,1,0,1,1,0
52,1,1.0,1,1,1,1,8,2.0,3.0,6.0,1,220,3,7,51,1,2,1,1,1,1,1,1
53,1,1.0,0,1,1,1,5,1.0,1.0,1.0,1,85,1,11,100,1,2,1,1,1,1,1,0
54,1,1.0,1,1,1,1,2,1.0,0.0,1.0,1,95,3,2,31,1,1,1,1,1,1,0,0
56,3,0.7,0,0,1,1,2,1.0,1.0,1.0,1,100,3,1,29,0,1,1,1,1,1,0,0
58,1,1.0,0,1,1,1,6,1.0,2.0,2.0,1,130,2,0,3,0,3,1,1,1,1,1,0
60,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,55,1,23,62,0,2,1,1,1,1,1,0
61,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,45,1,17,60,0,2,1,1,1,1,1,0
63,3,0.84,1,1,1,2,2,1.0,1.0,2.0,1,65,1,2,48,0,1,1,0,0,1,0,0
64,3,0.75,0,1,1,2,2,1.0,1.0,1.0,1,85,5,24,3,0,1,1,1,1,1,0,0
