,0
price,3633040
Entire home/apt,13441
Private room,12423
Shared room,651
Allerton,21
Arden Heights,4
Arrochar,12
Arverne,64
Astoria,639
Bath Beach,9
Battery Park City,31
Bay Ridge,77
Bay Terrace,6
Baychester,3
Bayside,38
Bayswater,8
Bedford-Stuyvesant,2547
Belle Harbor,2
Bellerose,4
Belmont,4
Bensonhurst,38
Bergen Beach,5
Boerum Hill,140
Borough Park,56
Briarwood,25
Brighton Beach,35
Bronxdale,15
Brooklyn Heights,121
Brownsville,38
Bushwick,1661
Cambria Heights,7
Canarsie,73
Carroll Gardens,197
Castle Hill,1
Castleton Corners,5
Chelsea,832
Chinatown,316
City Island,9
Civic Center,30
Claremont Village,10
Clason Point,22
Clifton,12
Clinton Hill,487
Co-op City,3
Cobble Hill,84
College Point,8
Columbia St,28
Concord,12
Concourse,30
Concourse Village,27
Coney Island,16
Corona,48
Crown Heights,1166
Cypress Hills,78
DUMBO,24
Ditmars Steinway,219
Dongan Hills,2
Douglaston,2
Downtown Brooklyn,67
Dyker Heights,14
East Elmhurst,74
East Flatbush,255
East Harlem,885
East Morrisania,8
East New York,129
East Village,1579
Eastchester,13
Edenwald,4
Edgemere,4
Elmhurst,122
Eltingville,2
Emerson Hill,5
Far Rockaway,20
Fieldston,10
Financial District,293
Flatbush,436
Flatiron District,70
Flatlands,54
Flushing,243
Fordham,23
Forest Hills,105
Fort Greene,344
Fort Hamilton,33
Fresh Meadows,17
Glen Oaks,2
Glendale,22
Gowanus,142
Gramercy,239
Graniteville,4
Grant City,1
Gravesend,30
Great Kills,4
Greenpoint,801
Greenwich Village,317
Grymes Hill,3
Harlem,2070
Hell's Kitchen,1381
Highbridge,25
Hollis,3
Hollis Hills,2
Holliswood,2
Howard Beach,7
Howland Hook,1
Huguenot,2
Hunts Point,8
Inwood,177
Jackson Heights,125
Jamaica,101
Jamaica Estates,9
Jamaica Hills,4
Kensington,123
Kew Gardens,18
Kew Gardens Hills,16
Kingsbridge,39
Kips Bay,307
Laurelton,7
Lighthouse Hill,1
Little Italy,83
Little Neck,2
Long Island City,357
Longwood,23
Lower East Side,753
Manhattan Beach,9
Marble Hill,9
Mariners Harbor,6
Maspeth,68
Melrose,5
Middle Village,20
Midland Beach,7
Midtown,823
Midwood,71
Mill Basin,1
Morningside Heights,265
Morris Heights,12
Morris Park,4
Morrisania,5
Mott Haven,42
Mount Eden,6
Mount Hope,10
Murray Hill,201
Navy Yard,11
Neponsit,1
New Brighton,6
New Springville,2
NoHo,68
Nolita,262
North Riverdale,3
Norwood,21
Oakwood,1
Ozone Park,26
Park Slope,400
Parkchester,31
Pelham Bay,9
Pelham Gardens,13
Port Morris,10
Port Richmond,3
Prospect Heights,287
Prospect-Lefferts Gardens,436
Queens Village,24
Randall Manor,8
Red Hook,52
Rego Park,75
Richmond Hill,54
Richmondtown,1
Ridgewood,238
Riverdale,7
Rockaway Beach,44
Roosevelt Island,60
Rosedale,31
Schuylerville,6
Sea Gate,5
Sheepshead Bay,91
Shore Acres,7
Silver Lake,1
SoHo,277
Soundview,6
South Beach,3
South Ozone Park,21
South Slope,235
Springfield Gardens,26
Spuyten Duyvil,4
St. Albans,38
St. George,45
Stapleton,18
Stuyvesant Town,19
Sunnyside,212
Sunset Park,247
Theater District,103
Throgs Neck,0
Todt Hill,0
Tompkinsville,24
Tottenville,0
Tremont,0
Tribeca,0
Two Bridges,0
Unionport,0
University Heights,0
Upper East Side,0
Upper West Side,0
Van Nest,3
Vinegar Hill,0
Wakefield,0
Washington Heights,0
West Brighton,0
West Farms,0
West Village,0
Westchester Square,0
Whitestone,4
Williamsbridge,0
Williamsburg,0
Windsor Terrace,0
Woodhaven,0
Woodlawn,0
Woodrow,1
Woodside,0
1,3457
2,12351
3,3053
4,4047
5,1062
6,1353
7,288
8,455
9,73
10,176
11,31
12,66
13,11
14,21
15,11
16,60
20.0,45
27.0,1
30.0,0
40.0,54
45.0,1
47.0,1
50.0,12
53.0,2
55.0,1
56.0,1
57.0,3
60.0,252
62.0,3
63.0,2
64.0,4
65.0,14
66.0,2
67.0,28
68.0,12
69.0,8
70.0,96
71.0,11
72.0,13
73.0,73
74.0,22
75.0,50
76.0,43
77.0,52
78.0,56
79.0,51
80.0,1246
81.0,75
82.0,121
83.0,225
84.0,233
85.0,316
86.0,308
87.0,597
88.0,571
89.0,604
90.0,1566
91.0,847
92.0,1023
93.0,1814
94.0,1231
95.0,1667
96.0,1753
97.0,1629
98.0,1568
99.0,796
100.0,7412
